id,datetime,created_at,screen_extracted_id,project,sector,state,announced,promised_capital_usd,promised_jobs,promised_first_output,actual_first_output,current_status,lag_years,slip_years,verification_tier,notes,promise_source,status_source,flag,promised_date_source,announced_dt,promised_first_output_dt,actual_first_output_dt,announced_raw,promised_first_output_raw,actual_first_output_raw
11,2026-09-05T23:48:04Z,2026-09-05T23:48:04Z,8,Formosa Sunshine Project Petrochemical Complex (St. James Parish),Chemicals and Plastics,LA,2018-04,9400000000,1200,unconfirmed,pending,"NOT STARTED; unbuilt, in permit litigation",-1.0,-1.0,V1,"$9.4B, 14-plant petrochemical/plastics complex ('The Sunshine Project') planned as a 10-year, two-phase build with construction to begin as soon as 2019 and permanent-job hiring from 2021. As of the Feb 5, 2026 status source the facility has not been constructed and remains in permit litigation (lawsuit over a fourth permit extension; first permit granted ~6 years earlier).",https://www.opportunitylouisiana.gov/news/formosa-selects-st-james-parish-for-9-4-billion-louisiana-project,https://earthjustice.org/press/2026/groups-sue-over-formosa-plastics-permit-extensions,"Resolved: human-verified and promoted from screen_extracted #8. Prior extraction flag: Promise source gives a 10-year, two-phase build from ~2019 but no explicit first-production/operations date, so promised",,2018-04-15,,,"April 23, 2018",FG could begin construction as soon as 2019 in what projects to be a 10-year building and development process in two phases.,A fourth permit extension when the company is not ready to build is unheard of.
12,2026-09-05T23:49:59Z,2026-09-05T23:49:59Z,10,Anduril Arsenal-1 Autonomous Weapons Facility (Pickaway County),Aerospace and Defense,OH,2025-01,910500000,4000,2026-07,2026-03,"PRODUCING; Fury drone production started ~March 2026, early ramp (~30 workers), ahead of the July 2026 target",1.2,-0.3,V1,"~5M sq ft facility on 500 acres near Rickenbacker Airport; more than 4,000 production/service jobs pledged by 2035. Announcement press release states 'over $900 million in capital'; committed capital reported as $910.5M. Roadrunner, Barracuda cruise missile and a classified platform expected by end of 2026; ~$1B reported sunk into the facility as of March 2026.",https://governor.ohio.gov/media/news-and-media/ohio-partners-with-anduril-to-rebuild-the-arsenal-for-essential-national-security-needs https://www.jobsohio.com/newsroom/news-press/anduril-ohio-partner-together-to-rebuild-the-arsenal-for-essential-national-security-needs,https://breakingdefense.com/2026/03/as-fury-production-starts-anduril-pledging-a-different-production-approach-at-arsenal-1/,Resolved: human-verified and promoted from screen_extracted #10. Prior extraction flag: Given promise_source (governor.ohio.gov) returned HTTP 404; extracted from the identical JobsOhio press release of the s,,2025-01-15,2026-07-15,2026-03-15,"Governor DeWine announced the Anduril 'Arsenal-1' project on January 16, 2025 (JobsOhio: 'Ohio Partners with Anduril to Rebuild the Arsenal for Essential National Security Needs')",first products are targeted to be manufactured beginning in July 2026,A new Anduril factory in Ohio has begun manufacturing the Fury autonomous combat drone
13,2026-09-05T23:52:20Z,2026-09-05T23:52:20Z,12,"Panasonic Energy EV Battery Plant (De Soto, Johnson County)",Battery,KS,2022-07,4000000000,4000,unconfirmed,2025,"OPERATING; producing EV battery cells, additional lines and data-center battery expansion underway",3.0,-3.0,V1,"Announcement (Kansas Commerce, Jul 13, 2022): 'an investment of up to $4 billion' and 'create up to 4,000 new jobs' to make lithium-ion batteries in De Soto. Grand opening was mid-2025 (KCTV5 June 2026 says it 'opened a year ago'); status source gives no exact production-start date. Panasonic announced a Zoox (Amazon) battery deal with production expected early 2026, and is investing over $2 billion in data-center batteries with production expected mid-to-late 2028 or early 2029.",https://www.kansascommerce.gov/2022/07/kansas-lands-4b-4000-job-panasonic-energy-electric-vehicle-battery-plant/,https://www.kctv5.com/2026/06/19/kansas-city-area-panasonic-plant-start-making-batteries-data-centers/,"Resolved: human-verified and promoted from screen_extracted #12. Prior extraction flag: Promise source states no promised production-start date, so promised_first_output is unconfirmed; status source confirms",,2022-07-15,,2025-07-01,"Jul 13, 2022","No promised production-start date is stated in the announcement; the release commits to 'an investment of up to $4 billion' and to 'create up to 4,000 new jobs' but gives no production timeline.",The 300-acre facility in De Soto opened a year ago. It is the largest EV battery plant in the United States.
14,2026-09-05T23:53:44Z,2026-09-05T23:53:44Z,13,Scout Motors Blythewood EV Assembly Plant (Richland County),Auto Assembly,SC,2023-03,2000000000,4000,2026 (end of),pending,"IN CONSTRUCTION; advancing production readiness, not yet producing",-1.0,-1.0,V1,"Scout Motors is backed by Volkswagen. Plant is its first manufacturing facility, in Blythewood near Columbia, SC. As of the July 2026 company update, construction and equipment installation (conveyors, paint equipment, water test bays) are ongoing.",https://governor.sc.gov/news/2023-03/scout-motors-selects-south-carolina-production-site-plans-create-4000-jobs,https://blog.scoutmotors.com/july-2026-scout-motors-production-center-update/,Resolved: human-verified and promoted from screen_extracted #13. Prior extraction flag: promised_date_source (wltx.com) returned HTTP 403 and could not be read. status_source (July 2026 company update) states,https://www.wltx.com/article/money/business/scout-motors-groundbreaking-richland-county/101-3ef5ffda-dab3-4e11-9fad-0e613c2e97da,2023-03-15,2026-07-01,,"March 3, 2023",Vehicle production is targeted to begin by the end of 2026.,We continue to make progress in the construction phase while advancing production readiness for the assembly of the new Scout vehicles.
15,2026-09-05T23:54:48Z,2026-09-05T23:54:48Z,14,Eli Lilly Lebanon LEAP District Manufacturing Sites (Boone County),Pharmaceuticals,IN,2022-05,2100000000,500,unconfirmed,2026-05-06,"PRODUCING; first of three facilities (Lilly Lebanon Advanced Therapies) opened May 6, 2026 producing Zepbound/Mounjaro; further facilities (incl. Lilly Lebanon API) under construction, targeting 2027.",4.0,-3.0,V1,"Initial announcement (May 25, 2022) was $2.1B and up to 500 direct Lilly roles for two sites at LEAP Lebanon. Later expansions ($3.7B, then ~$4.5B genetic-medicine investment per WFYI May 2026) are re-announcements per re-announcement discipline and are not summed into promised_capital_usd.",https://investor.lilly.com/news-releases/news-release-details/lilly-plans-invest-21-billion-new-manufacturing-sites-indiana,https://www.wfyi.org/wfyi-news/2026-05-06/lilly-unveils-new-genetic-medicine-facility-in-lebanon-leap-district-and-4-5-billion-investment,Resolved: human-verified and promoted from screen_extracted #14. Prior extraction flag: promise_source (investor.lilly.com) was unreachable (repeated timeouts / Akamai Access Denied); promise facts read from ,,2022-05-15,,2026-05-06,"INDIANAPOLIS, May 25, 2022 /PRNewswire/ -- ... plans to expand its manufacturing footprint in Indiana by investing $2.1 billion","The announcement states no production/operational timeline for the sites (""an estimated 1,500 construction jobs will be required while the facilities are being built"").",Eli Lilly & Company opened a new genetic medicine facility in Lebanon's LEAP Innovation District on May 6
16,2026-09-05T23:55:51Z,2026-09-05T23:55:51Z,21,Texas Instruments Sherman 300mm Fab Campus (SM1),Semiconductors,TX,2021-11,30000000000,3000,2025,2025-12,"PRODUCING; first fab SM1 began production Dec 2025, ramping to volume per customer demand",4.1,0.5,V1,"Announced Nov 17, 2021 (Gov. Abbott release); groundbreaking May 18, 2022. Campus is up to four fabs (SM1-SM4); the ~$30B is the potential total investment across all four fabs over the coming decades, not a per-fab figure. SM1 is the first fab. Row anchors on the original announcement figures.",https://www.ti.com/about-ti/newsroom/news-releases/2022/2022-05-18-texas-instruments-breaks-ground-on-new-300-mm-semiconductor-wafer-fabrication-plants-in-sherman--texas.html,https://www.ti.com/about-ti/newsroom/news-releases/2025/texas-instruments-begins-production-at-its-newest-300mm-semiconductor-manufacturing-facility-in-sherman-texas.html,Resolved: human-verified and promoted from screen_extracted #21,https://gov.texas.gov/news/post/governor-abbott-announces-texas-instruments-potential-30-billion-investment-in-sherman,2021-11-15,2025-07-01,2025-12-15,"Governor Greg Abbott today announced that Texas Instruments (TI) has selected Sherman as the location for their next 300-mm fabs, with potential of up to four fabs on the site to meet demand over time. (dateline: November 17, 2021 | Austin, Texas)",Plans for production from the first facility should begin as early as 2025.,"Texas Instruments (TI) today announced the start of production at its newest semiconductor fab in Sherman, TX, just three and a half years after breaking ground. (17 DEC 2025)"
17,2026-09-05T23:56:52Z,2026-09-05T23:56:52Z,15,Nucor Apple Grove Sheet Steel Mill (Mason County),Steel,WV,2022-01,3100000000,800,2027 (first half),pending,"UNDER CONSTRUCTION; ~85% complete, commissioning through 2026, commercial shipments expected early 2027 with ramp through 2027-2028",-1.0,-1.0,V1,"Commissioning sequence: pickle line first, then cold mill, automotive galvanizing line, then EAF melt shop and hot mill later in 2026. Deliberate ramp-up through 2027-2028; utilization ~50% possible by year-end 2027. Lead summary cites initial ~$2.7B growing to ~$3.1B and up to ~$4B; later figures are re-announcements/expansions per rule 4.",https://www.wsaz.com/video/2022/01/13/nucor-announces-plans-build-mason-county-west-virginia/,https://www.steelmarketupdate.com/2026/04/28/nucor-west-virginia-mill-is-85-complete-commissioning-to-finish-in-2026/,"Resolved: human-verified and promoted from screen_extracted #15. Prior extraction flag: promise_source (WSAZ) is a video page whose article body did not render, so the initial Jan 2022 capital figure (~$2.7B ",https://www.energy.senate.gov/2023/10/manchin-celebrates-groundbreaking-of-nucor-steel-s-3-billion-mason-county-sheet-mill,2022-01-15,2027-04-01,,"NUCOR Steel of West Virginia announces plans to build sheet mill in Apple Grove area of Mason County (Jan. 12, 2022)",Commercial shipments to begin in early 2027,the mill is about 85% complete... commissioning underway through 2026
18,2026-09-06T00:06:03Z,2026-09-06T00:06:03Z,17,Rivian Stanton Springs North EV Assembly Plant (Social Circle),Auto Assembly,GA,2021-12,5000000000,7500,2024,pending,"DELAYED; under construction, customer vehicle production now expected 2028",-1.0,-1.0,V1,"Announced ~$5B / 7,500 jobs at the Stanton Springs North site (Walton/Morgan/Newton counties) in Dec 2021, capacity 400,000+ vehicles/yr. AJC (Aug 2026): excavation underway, buildings targeted up in 2027 and manufacturing to commence 2028; georgia.org lists Phase 1 construction beginning 2026 and customer production anticipated 2028.",https://www.gpb.org/news/2021/12/17/rivian-electric-vehicle-factory-drives-generational-5b-and-7500-jobs-east-georgia,https://www.ajc.com/business/2026/08/rivian-says-construction-progressing-well-at-5b-georgia-factory-site/,"Resolved: human-verified and promoted from screen_extracted #17. Prior extraction flag: The lead summary says first output was originally targeted for 2024, but none of the three readable sources state a 2024",https://www.ajc.com/news/rivian-confirms-ev-factory-thousands-of-jobs-coming-to-georgia/CUH7ZNS5URGODNQG7CEUU2FCVY/,2021-12-15,2024-07-01,,"December 16, 2021","The first phase of facility construction is expected to begin in 2026, with the start of customer vehicle production anticipated in 2028.",Excavation is underway to build the foundations for two massive metal stamping presses; no vehicles have been produced at the Georgia facility yet.
19,2026-09-06T00:08:28Z,2026-09-06T00:08:28Z,46,Ferrara Candy Company Orangeburg County,Food and Beverage,SC,2026-04,675000000,1000,2029-Q1,pending,PRE-PRODUCTION; broke ground May 2026,-1.0,-1.0,V1,"$675M, 750,000-sq-ft greenfield sugar-confection plant (NERDS, SweeTARTS, Laffy Taffy, Trolli, Brach's, Jelly Belly) at Highway 21 and Rowesville Road, Orangeburg; first SC operation. 1,000 direct manufacturing and corporate jobs projected over 10 years.",https://governor.sc.gov/news/2026-04/ferrara-candy-company-selects-orangeburg-county-first-south-carolina-operation https://www.ferrara.com/us/en/ferrara-candy-company-selects-orangeburg-county-new-manufacturing-site,https://www.wrdw.com/2026/05/20/ferrara-candy-company-breaks-ground-orangeburg/,Resolved: human-verified and promoted from screen_extracted #46,https://www.ferrara.com/us/en/ferrara-candy-company-selects-orangeburg-county-new-manufacturing-site,2026-04-15,2029-02-15,,"CHICAGO (Apr. 22, 2026) – Ferrara Candy Company, a leading sugar confectioner in the United States, Brazil and Europe, today announced plans to establish its first South Carolina operation in Orangeburg County.",The first production lines in the new facility are expected to be operational in the first quarter of 2029.,Ferrara Candy Company broke ground in Orangeburg this week.
20,2026-09-06T00:09:44Z,2026-09-06T00:09:44Z,54,Hyundai Steel Louisiana EAF Steel Mill,Steel,LA,2025-03,5800000000,1300,2029,pending,"PRE-CONSTRUCTION; ceremonial groundbreaking Sept 4, 2026, still awaiting LDEQ air permit before construction commences",-1.0,-1.0,V1,"EAF-based integrated steel mill producing automotive steel plate, 2.7 million metric tons/yr, at RiverPlex MegaPark near Donaldsonville, Ascension Parish, LA. Plant expected to open in 2029.",https://www.prnewswire.com/news-releases/hyundai-steel-announces-5-8-billion-electric-arc-furnace-based-integrated-steel-mill-in-the-us-driving-sustainable-us-steel-production-and-creating-over-1-300-jobs-302409854.html,https://louisianaradionetwork.com/2026/09/04/48069/,Resolved: human-verified and promoted from screen_extracted #54,https://www.opportunitylouisiana.gov/hyundai-steel,2025-03-15,2029-07-01,,"Hyundai Steel Announces $5.8 Billion Electric Arc Furnace-Based Integrated Steel Mill in the US ... March 24, 2025",Commercial production targeted to begin in 2029,pending
21,2026-09-06T14:55:26Z,2026-09-06T14:55:26Z,19,FUJIFILM Diosynth Biotechnologies Holly Springs Facility,Pharmaceuticals,NC,2021-03,2000000000,725,unconfirmed,pending,"OPENED; Phase 1 grand opening Sept 24 2025 (8 x 20,000L bioreactors); finished goods capabilities in 2026; commercial production start not confirmed in release",-1.0,-1.0,V1,"Initial March 2021 announcement was $2B and 725 direct jobs; later expanded to a ~$3.2B total site with a Phase 2 (additional 8 x 20,000L bioreactors, announced 2024) and 1,400 jobs by 2031 -- these are re-announcements/expansions per re-announcement discipline, not summed into promised_capital_usd. As of the Sept 24 2025 grand opening the site employed over 680, on track for 750 by end of 2025.",https://www.commerce.nc.gov/news/press-releases/governor-cooper-announces-north-america%E2%80%99s-largest-end-end-biopharmaceutical,https://fujifilmbiotechnologies.fujifilm.com/about/news/opening-of-commercial-scale-cell-culture-manufacturing-site-in-north-carolina/,"Neither source states a promised first-output date (promise release gives no operational timeline), so promised_first_output = unconfirmed. The Sept 24 2025 grand-opening release celebrates the opening but does not state commercial production has begun and lists finished goods capabilities coming in 2026, so actual_first_output recorded as pending rather than a produced date. A 2026 article implies that this may be happening now.",,2021-03-15,,,"Governor Roy Cooper announced today ... FUJIFILM Diosynth Biotechnologies U.S.A. Inc., a world leading contract development and manufacturing organization (CDMO), will ... build North America's largest end-to-end biopharmaceutical manufacturing facility in Holly Springs (release dated Thursday, March 18, 2021)",No sentence in the announcement mentions when the facility is expected to become operational or begin production.,"FUJIFILM Biotechnologies today celebrated the grand opening of its manufacturing site in Holly Springs, North Carolina. The first phase of the planned $3.2 billion manufacturing site opens with a capacity of 8 x 20,000 liters (L) mammalian cell culture bioreactors to encompass drug product and drug substance manufacturing, while adding finished goods capabilities in 2026."
22,2026-09-06T14:56:06Z,2026-09-06T14:56:06Z,20,Golden Triangle Polymers Petrochemical Facility (Orange),Chemicals and Plastics,TX,2022-11,8500000000,500,2026,pending,"COMMISSIONING/STARTUP; not yet producing, full operation expected 2027",-1.0,-1.0,V1,"2.08M-tpa (2,080 KTA) ethane cracker plus two 1,000-KTA HDPE polyethylene units; ~4,500 construction jobs (not counted as direct). Joint venture: Chevron Phillips Chemical and QatarEnergy.",https://www.cpchem.com/media-events/news/news-release/chevron-phillips-chemical-and-qatarenergy-construct-integrated,https://www.bicmagazine.com/departments/operations/cpchem-golden-triangle-polymers-facility-startup-phase/,"Resolved: human-verified and promoted from screen_extracted #20. Prior extraction flag: Promised-date discrepancy: original announcement said operations begin 2026, but the project-overview page (promised_dat",https://www.goldentrianglepolymers.com/project-overview/,2022-11-15,2026-07-01,,"Nov. 16, 2022 -- Chevron Phillips Chemical and QatarEnergy announced they will construct an $8.5 billion integrated polymers facility in Orange, Texas",expected to begin operations in 2026,"is entering its commissioning and startup phase in 2026, with the facility expected to be fully operational in 2027"
